Date,Price
2004-05,37.9375
2004-06,35.18363636363636
2004-07,38.221363636363634
2004-08,42.74409090909091
2004-09,43.19681818181818
2004-10,49.776666666666664
2004-11,43.110454545454544
2004-12,39.60217391304348
2005-01,44.509
2005-02,45.475
2005-03,53.10454545454545
2005-04,51.88380952380952
2005-05,48.64545454545455
2005-06,54.35454545454545
2005-07,57.52
2005-08,63.98347826086956
2005-09,62.908181818181816
2005-10,58.53857142857142
2005-11,55.24181818181818
2005-12,56.855714285714285
2006-01,62.985238095238095
2006-02,60.21
2006-03,62.06478260869565
2006-04,70.26
2006-05,69.77695652173912
2006-06,68.5559090909091
2006-07,73.67428571428572
2006-08,73.2304347826087
2006-09,61.95857142857143
2006-10,57.808181818181815
2006-11,58.76136363636363
2006-12,62.47210526315789
2007-01,53.68142857142857
2007-02,57.55578947368421
2007-03,62.05045454545455
2007-04,67.4857894736842
2007-05,67.21227272727273
2007-06,71.04571428571428
2007-07,76.92999999999999
2007-08,70.76086956521739
2007-09,77.17315789473685
2007-10,82.34
2007-11,92.41428571428571
2007-12,90.92684210526315
2008-01,92.17809523809524
2008-02,94.9865
2008-03,103.63550000000001
2008-04,109.07136363636364
2008-05,122.79714285714284
2008-06,132.32238095238094
2008-07,132.71818181818182
2008-08,113.24333333333334
2008-09,97.23476190476191
2008-10,71.58217391304348
2008-11,52.45263157894737
2008-12,39.94681818181818
2009-01,43.439499999999995
2009-02,43.32473684210526
2009-03,46.540454545454544
2009-04,50.18190476190476
2009-05,57.302499999999995
2009-06,68.60954545454545
2009-07,64.43545454545455
2009-08,72.50857142857143
2009-09,67.64619047619047
2009-10,72.76954545454545
2009-11,76.662
2009-12,74.45636363636363
2010-01,76.16736842105263
2010-02,73.75210526315789
2010-03,78.82739130434783
2010-04,84.81761904761905
2010-05,75.94550000000001
2010-06,74.7609090909091
2010-07,75.58
2010-08,77.03954545454545
2010-09,77.8404761904762
2010-10,82.6647619047619
2010-11,85.2747619047619
2010-12,91.44681818181817
2011-01,96.5235
2011-02,103.71631578947368
2011-03,114.64347826086957
2011-04,123.25888888888888
2011-05,114.98904761904762
2011-06,113.83318181818181
2011-07,116.97349999999999
2011-08,110.21954545454545
2011-09,112.83380952380953
2011-10,109.55000000000001
2011-11,110.76809523809524
2011-12,107.87049999999999
2012-01,110.68599999999999
2012-02,119.327
2012-03,125.44545454545455
2012-04,119.42166666666668
2012-05,110.33952380952381
2012-06,95.15571428571428
2012-07,102.61857142857141
2012-08,113.35608695652174
2012-09,112.8636842105263
2012-10,111.7108695652174
2012-11,109.05857142857143
2012-12,109.494
2013-01,112.96
2013-02,116.05052631578947
2013-03,108.474
2013-04,102.24818181818182
2013-05,102.55863636363637
2013-06,102.9195
2013-07,107.93318181818182
2013-08,111.28045454545455
2013-09,111.59649999999999
2013-10,109.07652173913044
2013-11,107.792
2013-12,110.75666666666666
2014-01,108.11772727272728
2014-02,108.90052631578948
2014-03,107.48095238095237
2014-04,107.7552380952381
2014-05,109.53909090909092
2014-06,111.79523809523809
2014-07,106.76818181818182
2014-08,101.60809523809523
2014-09,97.09142857142858
2014-10,87.42521739130434
2014-11,79.4378947368421
2014-12,62.33500000000001
2015-01,47.7595
2015-02,58.0955
2015-03,55.88545454545454
2015-04,59.52428571428571
2015-05,64.075
2015-06,61.47772727272727
2015-07,56.56130434782609
2015-08,46.515
2015-09,47.62318181818182
2015-10,48.43
2015-11,44.26761904761905
2015-12,38.00545454545455
2016-01,30.6995
2016-02,32.1815
2016-03,38.210454545454546
2016-04,41.583333333333336
2016-05,46.742380952380955
2016-06,48.24727272727273
2016-07,44.951904761904764
2016-08,45.843043478260874
2016-09,46.567727272727275
2016-10,49.522380952380956
2016-11,44.73409090909091
2016-12,53.3085
2017-01,54.57666666666666
2017-02,54.8695
2017-03,51.589130434782604
2017-04,52.30789473684211
2017-05,50.326521739130435
2017-06,46.36818181818182
2017-07,48.47857142857143
2017-08,51.70434782608696
2017-09,56.152857142857144
2017-10,57.50772727272727
2017-11,62.71409090909091
2017-12,64.3736842105263
2018-01,69.07727272727273
2018-02,65.3175
2018-03,66.01666666666667
2018-04,72.10600000000001
2018-05,76.9752380952381
2018-06,74.4047619047619
2018-07,74.2540909090909
2018-08,72.52826086956522
2018-09,78.89099999999999
2018-10,81.03217391304348
2018-11,64.74818181818182
2018-12,57.36235294117647
2019-01,59.40954545454545
2019-02,63.9605
2019-03,66.13857142857144
2019-04,71.23333333333333
2019-05,71.31772727272727
2019-06,64.2205
2019-07,63.9191304347826
2019-08,59.041818181818186
2019-09,62.826666666666675
2019-10,59.71304347826087
2019-11,63.21190476190476
2019-12,67.31
2020-01,63.82478260869566
2020-02,55.702
2020-03,32.47
2020-04,18.3785
2020-05,29.378947368421056
2020-06,40.26681818181818
2020-07,43.24217391304348
2020-08,44.736000000000004
2020-09,40.90954545454545
2020-10,40.18954545454546
2020-11,42.69238095238095
2020-12,49.99363636363637
2021-01,54.689375
