sigla_uf,ano,pib,regiao
PA,2009,61665096,NORTE
AP,2009,7490656,NORTE
TO,2009,13689804,NORTE
MA,2009,40994571,NORDESTE
PI,2009,18946449,NORDESTE
CE,2009,67199958,NORDESTE
RN,2009,30941054,NORDESTE
PB,2009,30230406,NORDESTE
PE,2009,79760958,NORDESTE
AL,2009,24182388,NORDESTE
SE,2009,21707243,NORDESTE
BA,2009,137942481,NORDESTE
MG,2009,287443848,SUDESTE
ES,2009,69215361,SUDESTE
RJ,2009,391650854,SUDESTE
SP,2009,1127093826,SUDESTE
PR,2009,196675612,SUL
SC,2009,129098535,SUL
RS,2009,204344940,SUL
MS,2009,39517742,CENTRO OESTE
MT,2009,52693417,CENTRO OESTE
GO,2009,92865743,CENTRO OESTE
DF,2009,124323753,NORDESTE
RO,2010,23907887,NORTE
AC,2010,8342356,NORTE
AM,2010,60877123,NORTE
RR,2010,6639150,NORTE
PA,2010,82684518,NORTE
AP,2010,8237795,NORTE
TO,2010,16404816,NORTE
MA,2010,46309633,NORDESTE
PI,2010,22269149,NORDESTE
CE,2010,79336299,NORDESTE
RN,2010,36184502,NORDESTE
PB,2010,33522492,NORDESTE
PE,2010,97189760,NORDESTE
AL,2010,27133038,NORDESTE
SE,2010,26404893,NORDESTE
BA,2010,154419547,NORDESTE
MG,2010,351123418,SUDESTE
ES,2010,85310285,SUDESTE
RJ,2010,449858101,SUDESTE
SP,2010,1294695988,SUDESTE
PR,2010,225205255,SUL
SC,2010,153726007,SUL
RS,2010,241249164,SUL
MS,2010,47270656,CENTRO OESTE
MT,2010,56600955,CENTRO OESTE
GO,2010,106770109,CENTRO OESTE
DF,2010,144174102,NORDESTE
RO,2011,27574714,NORTE
AC,2011,8949434,NORTE
AM,2011,70734401,NORTE
RR,2011,7303719,NORTE
PA,2011,98710736,NORTE
AP,2011,9409228,NORTE
TO,2011,18345688,NORTE
MA,2011,52143535,NORDESTE
PI,2011,25941362,NORDESTE
CE,2011,89695828,NORDESTE
RN,2011,40992925,NORDESTE
PB,2011,37109137,NORDESTE
PE,2011,110161559,NORDESTE
AL,2011,31657321,NORDESTE
SE,2011,29108272,NORDESTE
BA,2011,166602817,NORDESTE
MG,2011,400124687,SUDESTE
ES,2011,105976222,SUDESTE
RJ,2011,512767905,SUDESTE
SP,2011,1436672709,SUDESTE
PR,2011,257122269,SUL
SC,2011,174068322,SUL
RS,2011,265056416,SUL
MS,2011,55133162,CENTRO OESTE
MT,2011,69153957,CENTRO OESTE
GO,2011,121296721,CENTRO OESTE
DF,2011,154568954,NORDESTE
RO,2012,30112720,NORTE
AC,2012,10137925,NORTE
AM,2012,72242701,NORTE
RR,2012,7711467,NORTE
PA,2012,107080881,NORTE
AP,2012,11130868,NORTE
TO,2012,20684430,NORTE
