DATA;PRECO PETROLEO;PRECO DOLAR;PRECO GASOLINA
2006-08-20;72.348;2.14623;2.421
2006-08-27;71.91600000000001;2.14308;2.472
2006-09-03;68.35;2.1669714285714283;2.468
2006-09-10;65.758;2.1661124999999997;2.461
2006-09-17;61.379999999999995;2.156425;2.436
2006-09-24;60.232000000000006;2.17492;2.422
2006-10-01;58.758;2.2019583333333332;2.403
2006-10-08;57.146;2.1445833333333333;2.543
2006-10-15;58.327999999999996;2.1476333333333333;2.536
2006-10-22;58.508;2.13705;2.545
2006-10-29;57.732000000000006;2.14162;2.5380000000000003
2006-11-05;56.477999999999994;2.15644;2.54
2006-11-12;58.01800000000001;2.16276;2.54
2006-11-19;57.852;2.15513;2.5380000000000003
2006-11-26;59.198;2.16453;2.519
2006-12-03;62.59400000000001;2.19817;2.523
2006-12-10;63.632000000000005;2.1781666666666664;2.514
2006-12-17;62.564;2.1463875;2.519
2006-12-24;62.436;2.15414;2.512
2006-12-31;59.69;2.14274;2.506
2007-01-07;55.63;2.06465;2.502
2007-01-14;51.788;1.8183666666666667;2.495
2007-01-21;51.3975;2.1367000000000003;2.476
2007-01-28;54.86800000000001;2.13345;2.398
2007-02-04;55.918000000000006;2.1148285714285713;2.371
2007-02-11;57.902;1.87987;2.508
2007-02-18;55.544000000000004;2.097025;2.525
2007-02-25;58.1625;2.08567;2.508
2007-03-04;60.622;2.1011800000000003;2.494
2007-03-11;60.348;1.92148;2.4530000000000003
2007-03-18;60.866;2.03534;2.4090000000000003
2007-03-25;61.089999999999996;2.06911;2.391
2007-04-01;66.098;2.0732833333333334;2.421
2007-04-08;68.545;1.97165;2.4530000000000003
2007-04-15;68.2025;1.9076625;2.452
2007-04-22;66.208;2.03157;2.445
2007-04-29;67.394;2.0295300000000003;2.4130000000000003
2007-05-06;66.038;2.0645583333333333;2.398
2007-05-13;63.912;1.84891;2.381
2007-05-20;67.554;1.9778200000000001;2.364
2007-05-27;70.65;1.9514699999999998;2.407
2007-06-03;68.44500000000001;1.9971500000000002;2.414
2007-06-10;71.232;1.9529299999999998;2.412
2007-06-17;69.892;1.8649;2.384
2007-06-24;71.78;1.91618;2.354
2007-07-01;71.758;1.9406299999999999;2.354
2007-07-08;74.785;2.0185199999999996;2.406
2007-07-15;77.756;1.8331;2.414
2007-07-22;78.244;1.86113;2.435
2007-07-29;76.662;1.8772399999999998;2.452
2007-08-05;76.338;2.02445;2.454
2007-08-12;70.69800000000001;1.8559625;2.4530000000000003
2007-08-19;70.092;2.01208;2.454
2007-08-26;68.44;2.00805;2.456
2007-09-02;70.548;2.015685714285714;2.45
2007-09-09;75.0575;1.9912100000000001;2.451
2007-09-16;76.89200000000001;1.8412125;2.454
2007-09-23;78.17;1.88212;2.443
2007-09-30;78.15;1.85399;2.439
2007-10-07;77.978;2.025775;2.4530000000000003
2007-10-14;78.852;1.8673125;2.444
2007-10-21;84.28999999999999;1.80637;2.446
2007-10-28;83.72200000000001;1.79933;2.448
2007-11-04;90.41600000000001;1.88844;2.441
2007-11-11;93.544;1.9186999999999999;2.45
2007-11-18;90.738;1.7546499999999998;2.46
2007-11-25;94.005;1.7720300000000002;2.455
2007-12-02;92.16;1.9038285714285714;2.463
2007-12-09;89.088;1.97449;2.466
2007-12-16;90.244;1.7809599999999999;2.449
2007-12-23;90.82000000000001;1.80352;2.424
2007-12-30;94.39;1.7783000000000002;2.458
2008-01-06;96.5025;1.74342;2.459
2008-01-13;94.396;1.81419;2.4330000000000003
2008-01-20;90.03399999999999;1.7633800000000002;2.417
2008-01-27;88.455;1.80334;2.441
2008-02-03;91.77;1.7751000000000001;2.437
2008-02-10;89.884;1.7088166666666667;2.361
2008-02-17;94.982;1.900375;2.309
2008-02-24;97.125;1.72391;2.303
2008-03-02;99.098;1.697075;2.437
2008-03-09;101.902;1.66173;2.44
2008-03-16;107.68800000000002;2.00982;2.434
2008-03-23;103.0475;1.7218900000000001;2.414
2008-03-30;102.048;1.736;2.398
2008-04-06;100.878;1.7115;2.402
2008-04-13;106.602;1.9019399999999997;2.365
2008-04-20;110.424;1.6718699999999997;2.432
2008-04-27;114.34;1.66419;2.421
2008-05-04;111.97999999999999;1.6970399999999999;2.412
2008-05-11;119.84400000000001;1.73922;2.399
2008-05-18;122.58400000000002;1.8296299999999999;2.387
2008-05-25;126.47;1.65273;2.357
2008-06-01;128.7575;1.652;2.331
2008-06-08;126.33400000000002;1.65975;2.341
2008-06-15;134.118;1.9786333333333335;2.449
2008-06-22;132.08200000000002;1.6131800000000003;2.423
2008-06-29;135.54000000000002;1.6034;2.419
2008-07-06;141.065;1.6992;2.4530000000000003
2008-07-13;137.43400000000003;1.900725;2.434
2008-07-20;135.052;1.59413;2.365
2008-07-27;126.702;1.58027;2.34
2008-08-03;124.43199999999999;1.6340083333333333;2.337
2008-08-10;116.56199999999998;1.7780083333333332;2.346
2008-08-17;110.16400000000002;1.8331;2.353
2008-08-24;111.66;1.6254300000000002;2.438
2008-08-31;112.404;1.62911;2.435
2008-09-07;103.685;1.67808;2.441
2008-09-14;97.28;2.1595166666666668;2.444
2008-09-21;89.348;1.84861;2.449
2008-09-28;100.914;1.83265;2.447
2008-10-05;91.9;1.79634;2.441
2008-10-12;80.976;1.9849083333333333;2.439
2008-10-19;69.28;2.1440200000000003;2.428
2008-10-26;64.404;2.26538;2.443
2008-11-02;60.614;2.0561857142857143;2.46
2008-11-09;59.434000000000005;1.6763750000000002;2.463
2008-11-16;53.266;2.2967125;2.459
2008-11-23;47.794;2.3578;2.454
2008-11-30;48.5325;2.31275;2.439
2008-12-07;43.696;1.6891375;2.425
2008-12-14;41.010000000000005;2.0162750000000003;2.412
2008-12-21;41.714;2.37605;2.456
2008-12-28;35.3825;2.38119;2.462
2009-01-04;37.035;2.33492;2.458
2009-01-11;45.248000000000005;1.94956;2.4530000000000003
2009-01-18;42.384;2.21902;2.435
2009-01-25;41.667500000000004;2.34322;2.43
2009-02-01;44.204;2.3064;2.425
2009-02-08;43.64;2.17958;2.446
2009-02-15;45.588;1.8913;2.427
2009-02-22;40.912499999999994;2.3274;2.428
2009-03-01;42.676;2.3775199999999996;2.415
2009-03-08;43.864;2.117225;2.394
2009-03-15;43.980000000000004;1.90855;2.394
2009-03-22;46.434000000000005;2.26771;2.415
2009-03-29;51.464;2.25102;2.447
2009-04-05;48.494;2.2915799999999997;2.481
2009-04-12;51.48;1.8174199999999998;2.485
2009-04-19;51.589999999999996;2.1839;2.457
2009-04-26;48.965999999999994;2.21394;2.472
2009-05-03;49.916;2.2494714285714283;2.446
2009-05-10;54.827999999999996;1.915975;2.424
2009-05-17;56.386;2.0020125;2.422
2009-05-24;57.89;2.0444299999999997;2.418
2009-05-31;62.195;2.0153;2.393
2009-06-07;67.174;2.1923583333333334;2.499
2009-06-14;69.88;1.7657166666666668;2.488
2009-06-21;69.67999999999999;1.96101;2.4730000000000003
2009-06-28;67.576;1.9764400000000002;2.462
2009-07-05;68.03;2.0907899999999997;2.475
2009-07-12;60.394000000000005;1.8274899999999998;2.47
2009-07-19;61.108000000000004;1.9540199999999999;2.477
2009-07-26;66.562;1.9008500000000002;2.469
2009-08-02;68.6;1.9487750000000001;2.463
2009-08-09;73.986;2.0205399999999996;2.466
2009-08-16;72.898;1.7893375;2.466
2009-08-23;71.51599999999999;1.85063;2.436
2009-08-30;72.332;1.85824;2.436
2009-09-06;67.604;2.15395;2.479
2009-09-13;69.17;1.80704;2.466
2009-09-20;68.846;1.80929;2.46
2009-09-27;66.95599999999999;1.80273;2.438
2009-10-04;65.9;2.027433333333333;2.501
2009-10-11;67.86800000000001;1.8635300000000001;2.514
2009-10-18;72.288;1.72469;2.525
2009-10-25;77.238;1.72815;2.529
2009-11-01;76.06800000000001;1.7421;2.536
2009-11-08;76.596;2.09673;2.544
2009-11-15;76.24600000000001;1.7537375;2.552
2009-11-22;77.03999999999999;1.72197;2.556
2009-11-29;76.515;1.73353;2.553
2009-12-06;77.782;2.1075;2.545
2009-12-13;73.144;1.7717666666666665;2.548
2009-12-20;71.80199999999999;1.7636399999999999;2.5540000000000003
2009-12-27;73.35;1.77047;2.557
2010-01-03;77.1925;1.7685928571428573;2.572
2010-01-10;79.818;1.76694;2.588
2010-01-17;78.30999999999999;1.73677;2.595
