Semana-Ano;PRECO GASOLINA;PRECO PETROLEO;MEDIA
17-2006;2.579;72.84400000000001;2.1175100000000002
17-2007;2.4130000000000003;67.394;2.0295300000000003
17-2008;2.421;114.34;1.66419
17-2009;2.472;48.965999999999994;2.21394
17-2010;2.529;85.982;1.7627000000000002
17-2011;2.838;125.36;1.5869499999999999
17-2012;2.689;118.096;1.88229
17-2013;2.85;100.60799999999999;2.0116
17-2014;2.983;109.20599999999999;2.23291
17-2015;3.212;61.412;3.01252
17-2016;3.635;44.464;3.6031833333333334
17-2017;3.499;49.54600000000001;3.16475
17-2018;4.115;74.982;3.46894
17-2019;4.335;72.93199999999999;3.94917
17-2020;3.559;14.235999999999999;5.422549999999999
18-2005;2.298;50.048;2.4434375
18-2006;2.575;72.922;2.1854299999999998
18-2007;2.398;66.038;2.0645583333333333
18-2008;2.412;111.97999999999999;1.6970399999999999
18-2009;2.446;49.916;2.2494714285714283
18-2010;2.526;82.49600000000001;1.7700099999999999
18-2011;2.815;119.56400000000001;1.5941999999999998
18-2012;2.6910000000000003;116.674;1.8671599999999997
18-2013;2.842;101.53399999999999;1.9927800000000002
18-2014;2.98;109.15;2.28611
18-2015;3.209;63.49400000000001;2.889
18-2016;3.649;44.196000000000005;3.50892
18-2017;3.503;48.704;3.2157299999999998
18-2018;4.138999999999999;74.422;3.3862583333333336
18-2019;4.373;71.586;3.8352600000000003
18-2020;3.472;17.046;5.1475833333333325
19-2005;2.253;48.696;2.317825
19-2006;2.56;70.438;2.1490333333333336
19-2007;2.381;63.912;1.84891
19-2008;2.399;119.84400000000001;1.73922
19-2009;2.424;54.827999999999996;1.915975
19-2010;2.512;78.324;1.7322375
19-2011;2.781;114.52799999999999;1.7270375
19-2012;2.675;111.7775;2.0453900000000003
19-2013;2.834;103.774;2.2763916666666666
19-2014;2.979;108.47999999999999;2.30605
19-2015;3.222;65.006;3.4029875
19-2016;3.626;45.2;3.3639375
19-2017;3.488;48.004000000000005;3.167083333333333
19-2018;4.18;76.68;3.8999
19-2019;4.357;71.252;3.986075
19-2020;3.469;23.572499999999998;5.364762499999999
2-2005;2.214;44.586;2.4675124999999998
2-2006;2.46;62.17999999999999;2.1809375
2-2007;2.495;51.788;1.8183666666666667
2-2008;2.4330000000000003;94.396;1.81419
2-2009;2.4530000000000003;45.248000000000005;1.94956
2-2010;2.595;78.30999999999999;1.73677
2-2011;2.595;97.086;1.722725
2-2012;2.7;111.776;1.9482833333333334
2-2013;2.798;112.372;2.24435
2-2014;2.998;107.01399999999998;2.34875
2-2015;2.965;49.465999999999994;3.3934399999999996
2-2016;3.613;29.1;3.73981
2-2017;3.711;54.016;3.2196625
2-2018;4.133;69.47;3.8287166666666668
2-2019;4.093;58.636;3.9574000000000003
2-2020;4.355;67.92999999999999;5.41038
2-2021;4.326;55.379999999999995;5.42098
20-2004;1.961;37.618;2.9684375
20-2005;2.214;46.982;2.46446
20-2006;2.524;67.838;2.1758200000000003
20-2007;2.364;67.554;1.97782
20-2008;2.387;122.58400000000002;1.8296299999999999
20-2009;2.422;56.386;2.0020125
20-2010;2.502;72.172;1.8402100000000001
20-2011;2.715;112.02000000000001;1.62058
20-2012;2.667;109.86600000000001;2.00106
20-2013;2.813;102.90799999999999;2.02295
20-2014;2.966;109.532;2.28861
20-2015;3.279;64.902;3.2038875
20-2016;3.629;48.336;3.5355800000000004
20-2017;3.47;51.75;3.18216
20-2018;4.36;78.75399999999999;3.6708100000000004
20-2019;4.36;73.322;4.01432
20-2020;3.487;28.182;5.7901625
21-2004;1.963;38.43;3.1502000000000003
21-2005;2.184;48.588;2.41757
21-2006;2.502;68.466;2.30261
21-2007;2.407;70.65;1.9514699999999998
21-2008;2.357;126.47;1.65273
21-2009;2.418;57.89;2.0444299999999997
21-2010;2.478;70.79;1.8486
21-2011;2.698;113.40599999999999;1.62228
21-2012;2.6660000000000004;108.144;2.04211
21-2013;2.801;102.298;2.04258
21-2014;2.955;110.718;2.2128699999999997
21-2015;3.268;64.31;3.02958
21-2016;3.603;48.734;3.5781799999999997
21-2017;3.451;52.584;3.2739599999999998
21-2018;4.44;78.59;3.66163
