DATA,SALARIO MINIMO DOLAR,grouper,Date,Price,GALOES_PETROLEO_POR_SALARIO
2004-05,82.80254777070063,2004-05,,,
2004-06,83.06709265175719,2004-06,2004-06,35.18363636363636,2.3609581395517782
2004-07,85.52631578947368,2004-07,2004-07,38.221363636363634,2.2376573636452974
2004-08,86.66666666666667,2004-08,2004-08,42.74409090909091,2.0275707079837373
2004-09,89.96539792387543,2004-09,2004-09,43.19681818181818,2.082685755816674
2004-10,91.22807017543859,2004-10,2004-10,49.77666666666666,1.832747676463643
2004-11,93.18996415770609,2004-11,2004-11,43.110454545454544,2.1616558011340152
2004-12,95.58823529411764,2004-12,2004-12,39.60217391304348,2.4137118205683765
2005-01,111.52416356877323,2005-01,2005-01,44.509,2.5056542175464114
2005-02,115.38461538461539,2005-02,2005-02,45.475,2.537319744576479
2005-03,110.7011070110701,2005-03,2005-03,53.10454545454545,2.0845881659193206
2005-04,116.27906976744185,2005-04,2005-04,51.88380952380952,2.241143640658871
2005-05,122.44897959183673,2005-05,2005-05,48.64545454545455,2.5171720715944756
2005-06,123.96694214876034,2005-06,2005-06,54.35454545454545,2.28070975687634
2005-07,126.58227848101265,2005-07,2005-07,57.52,2.2006654812415274
2005-08,127.11864406779662,2005-08,2005-08,63.98347826086956,1.986741695246954
2005-09,130.43478260869566,2005-09,2005-09,62.908181818181816,2.0734152353294877
2005-10,132.7433628318584,2005-10,2005-10,58.53857142857142,2.2676221778632133
2005-11,135.74660633484163,2005-11,2005-11,55.24181818181818,2.4573160479268963
2005-12,131.57894736842107,2005-12,2005-12,56.855714285714285,2.314260739161656
2006-01,154.1850220264317,2006-01,2006-01,62.985238095238095,2.447954896880649
2006-02,162.03703703703704,2006-02,2006-02,60.21,2.6911980906334003
2006-03,162.79069767441862,2006-03,2006-03,62.06478260869565,2.622915779803451
2006-04,164.3192488262911,2006-04,2006-04,70.26,2.3387311247693012
2006-05,160.5504587155963,2006-05,2006-05,69.77695652173912,2.3009094508955337
2006-06,155.55555555555554,2006-06,2006-06,68.5559090909091,2.2690320589182167
2006-07,159.81735159817353,2006-07,2006-07,73.67428571428572,2.1692419552998037
2006-08,162.03703703703704,2006-08,2006-08,73.2304347826087,2.2127007373103673
2006-09,161.29032258064515,2006-09,2006-09,61.95857142857143,2.6031962787681078
2006-10,162.79069767441862,2006-10,2006-10,57.808181818181815,2.816049433736346
2006-11,162.03703703703704,2006-11,2006-11,58.76136363636363,2.7575438521097
2006-12,162.79069767441862,2006-12,2006-12,62.47210526315789,2.6058141788031324
2007-01,177.57009345794393,2007-01,2007-01,53.68142857142857,3.3078496266482356
2007-02,180.95238095238093,2007-02,2007-02,57.55578947368421,3.1439475091400912
2007-03,181.81818181818184,2007-03,2007-03,62.05045454545455,2.9301667997450758
2007-04,187.192118226601,2007-04,2007-04,67.4857894736842,2.773800524325136
2007-05,191.91919191919192,2007-05,2007-05,67.21227272727273,2.855418871162749
2007-06,196.89119170984458,2007-06,2007-06,71.04571428571428,2.7713310181953514
