DATA,SALARIO MINIMO DOLAR
2004-05,82.80254777070063
2004-06,83.06709265175719
2004-07,85.52631578947368
2004-08,86.66666666666667
2004-09,89.96539792387543
2004-10,91.22807017543859
2004-11,93.18996415770609
2004-12,95.58823529411764
2005-01,111.52416356877323
2005-02,115.38461538461539
2005-03,110.7011070110701
2005-04,116.27906976744185
2005-05,122.44897959183673
2005-06,123.96694214876034
2005-07,126.58227848101265
2005-08,127.11864406779662
2005-09,130.43478260869566
2005-10,132.7433628318584
2005-11,135.74660633484163
2005-12,131.57894736842107
2006-01,154.1850220264317
2006-02,162.03703703703704
2006-03,162.79069767441862
2006-04,164.3192488262911
2006-05,160.5504587155963
2006-06,155.55555555555554
2006-07,159.81735159817353
2006-08,162.03703703703704
2006-09,161.29032258064515
2006-10,162.79069767441862
2006-11,162.03703703703704
2006-12,162.79069767441862
2007-01,177.57009345794393
2007-02,180.95238095238093
2007-03,181.81818181818184
2007-04,187.192118226601
2007-05,191.91919191919192
2007-06,196.89119170984458
2007-07,202.12765957446808
2007-08,193.87755102040816
2007-09,200.0
2007-10,211.11111111111111
2007-11,214.68926553672316
2007-12,212.2905027932961
2008-01,234.4632768361582
2008-02,239.88439306358381
2008-03,242.69005847953215
2008-04,245.5621301775148
2008-05,250.0
2008-06,256.1728395061728
2008-07,261.00628930817606
2008-08,257.76397515527947
2008-09,231.84357541899442
2008-10,190.3669724770642
2008-11,182.8193832599119
2008-12,172.91666666666669
2009-01,201.2987012987013
2009-02,200.43103448275863
2009-03,201.2987012987013
2009-04,210.40723981900453
2009-05,224.6376811594203
2009-06,237.24489795918367
2009-07,240.93264248704665
2009-08,251.35135135135133
2009-09,255.4945054945055
2009-10,267.2413793103448
2009-11,268.78612716763007
2009-12,265.7142857142857
2010-01,286.51685393258424
2010-02,277.17391304347825
2010-03,284.91620111731845
2010-04,289.77272727272725
2010-05,280.2197802197802
2010-06,281.76795580110496
2010-07,288.135593220339
2010-08,289.77272727272725
2010-09,296.51162790697674
2010-10,303.57142857142856
2010-11,298.2456140350877
2010-12,301.7751479289941
2011-01,324.4047619047619
2011-02,326.34730538922156
2011-03,328.3132530120482
2011-04,344.9367088607595
2011-05,338.50931677018633
2011-06,342.76729559748424
2011-07,349.35897435897436
2011-08,340.625
2011-09,311.42857142857144
2011-10,307.909604519774
2011-11,304.46927374301674
2011-12,296.195652173913
2012-01,347.4860335195531
2012-02,361.6279069767442
2012-03,347.4860335195531
2012-04,336.2162162162162
2012-05,314.14141414141415
2012-06,303.4146341463415
2012-07,306.40394088669956
2012-08,306.40394088669956
2012-09,306.40394088669956
2012-10,306.40394088669956
2012-11,300.48309178743966
2012-12,299.03846153846155
2013-01,333.99014778325125
2013-02,344.16243654822335
2013-03,342.42424242424244
2013-04,339.0
2013-05,332.3529411764706
2013-06,312.44239631336404
2013-07,301.3333333333333
2013-08,289.7435897435898
2013-09,298.6784140969163
2013-10,309.5890410958904
2013-11,294.7826086956522
2013-12,288.51063829787233
2014-01,304.20168067226894
2014-02,304.20168067226894
2014-03,310.7296137339056
2014-04,324.66367713004485
2014-05,326.1261261261261
2014-06,324.66367713004485
2014-07,326.1261261261261
2014-08,318.942731277533
2014-09,310.7296137339056
2014-10,295.51020408163265
2014-11,283.921568627451
2014-12,274.24242424242425
2015-01,298.4848484848485
2015-02,279.4326241134752
2015-03,250.95541401273886
2015-04,258.3606557377049
2015-05,257.51633986928107
2015-06,253.37620578778137
2015-07,244.72049689440993
2015-08,224.5014245014245
2015-09,202.57069408740358
2015-10,203.09278350515464
2015-11,208.46560846560848
2015-12,203.09278350515464
2016-01,217.28395061728395
2016-02,221.6624685138539
2016-03,237.83783783783784
2016-04,247.19101123595505
2016-05,248.58757062146893
2016-06,256.55976676384836
2016-07,268.2926829268293
2016-08,274.14330218068534
2016-09,270.7692307692308
2016-10,275.86206896551727
2016-11,263.4730538922156
2016-12,262.6865671641791
2017-01,292.8125
2017-02,302.258064516129
2017-03,299.36102236421726
2017-04,298.4076433121019
2017-05,291.90031152647975
2017-06,284.8024316109422
2017-07,291.90031152647975
2017-08,297.46031746031747
2017-09,299.36102236421726
2017-10,293.73040752351096
2017-11,287.4233128834356
2017-12,283.93939393939394
2018-01,297.196261682243
2018-02,293.53846153846155
2018-03,290.8536585365854
2018-04,279.76539589442814
2018-05,262.8099173553719
2018-06,252.3809523809524
2018-07,249.08616187989557
2018-08,242.74809160305344
2018-09,232.11678832116786
2018-10,253.72340425531917
2018-11,252.3809523809524
2018-12,245.24421593830334
2019-01,266.1333333333333
2019-02,268.2795698924731
2019-03,259.89583333333337
2019-04,255.8974358974359
2019-05,249.5
2019-06,258.5492227979275
2019-07,264.02116402116405
2019-08,248.2587064676617
2019-09,242.23300970873785
2019-10,244.00977995110026
2019-11,240.48192771084337
2019-12,242.8223844282238
2020-01,252.41545893719808
2020-02,240.78341013824885
2020-03,213.70143149284254
2020-04,196.79849340866292
2020-05,185.28368794326244
2020-06,201.34874759152214
2020-07,197.91666666666666
2020-08,191.74311926605503
2020-09,193.5185185185185
2020-10,185.94306049822063
2020-11,192.09558823529412
2020-12,202.9126213592233
2021-01,205.99250936329588
2021-02,203.3271719038817
2021-03,195.03546099290782
2021-04,195.72953736654804
